ticker,name,sector_ishares,etf_market_value_usd,weight_pct,source_index,classification_raw,source_classification,data_as_of
WK,Workiva Inc.,,35006348.22,1.3,SKYY,Software,First Trust,2026-05-08
WIX,Wix.com Ltd.,,31860839.68,1.18,SKYY,IT Services,First Trust,2026-05-08
HUBS,"HubSpot, Inc.",,31356141.96,1.17,SKYY,Software,First Trust,2026-05-08
FIVN,"Five9, Inc.",,26328481.4,0.98,SKYY,Software,First Trust,2026-05-08
DDOG,"Datadog, Inc. (Class A)",,25047421.92,0.93,SKYY,Software,First Trust,2026-05-08
SAP,SAP SE (ADR),,24150032.1,0.9,SKYY,Software,First Trust,2026-05-08
ZM,"Zoom Communications, Inc. (Class A)",,20692237.12,0.77,SKYY,Software,First Trust,2026-05-08
CRWD,"CrowdStrike Holdings, Inc. (Class A)",,19877401.51,0.74,SKYY,Software,First Trust,2026-05-08
PANW,"Palo Alto Networks, Inc.",,19557350.4,0.73,SKYY,Software,First Trust,2026-05-08
DBX,"Dropbox, Inc. (Class A)",,16202004.7,0.6,SKYY,Software,First Trust,2026-05-08
BOX,"Box, Inc. (Class A)",,15300853.72,0.57,SKYY,Software,First Trust,2026-05-08
PAYC,"Paycom Software, Inc.",,15238968.93,0.57,SKYY,Professional Services,First Trust,2026-05-08
DOCU,"DocuSign, Inc.",,14889523.4,0.55,SKYY,Software,First Trust,2026-05-08
APPN,Appian Corporation,,14635699.04,0.54,SKYY,Software,First Trust,2026-05-08
PCTY,Paylocity Holding Corporation,,14600306.84,0.54,SKYY,Professional Services,First Trust,2026-05-08
QTWO,"Q2 Holdings, Inc.",,14595299.37,0.54,SKYY,Software,First Trust,2026-05-08
ZS,"Zscaler, Inc.",,14500270.95,0.54,SKYY,Software,First Trust,2026-05-08
QLYS,"Qualys, Inc.",,14284079.96,0.53,SKYY,Software,First Trust,2026-05-08
ESTC,Elastic N.V.,,14058280.5,0.52,SKYY,Software,First Trust,2026-05-08
OTEX,Open Text Corporation,,13981706.16,0.52,SKYY,Software,First Trust,2026-05-08
INTU,Intuit Inc.,,13572824.88,0.5,SKYY,Software,First Trust,2026-05-08
TTD,"The Trade Desk, Inc. (Class A)",,13574571.24,0.5,SKYY,Media,First Trust,2026-05-08
WDAY,"Workday, Inc. (Class A)",,13388786.37,0.5,SKYY,Software,First Trust,2026-05-08
APPF,"AppFolio, Inc. (Class A)",,13130457.21,0.49,SKYY,Software,First Trust,2026-05-08
TOST,"Toast, Inc. (Class A)",,12850599.9,0.48,SKYY,Financial Services,First Trust,2026-05-08
